iter	Passed	Remaining
0	51	51000
1	109	54470
2	161	53772
3	223	55756
4	264	52699
5	326	54009
6	380	54005
7	437	54288
8	491	54144
9	521	51659
10	589	52963
11	653	53787
12	694	52751
13	707	49819
14	767	50418
15	859	52862
16	937	54186
17	961	52446
18	997	51522
19	1064	52167
20	1126	52534
21	1190	52914
22	1202	51082
23	1263	51390
24	1295	50526
25	1359	50916
26	1422	51274
27	1445	50189
28	1468	49156
29	1527	49382
30	1586	49604
31	1648	49873
32	1677	49168
33	1736	49342
34	1765	48690
35	1850	49549
36	1913	49804
37	1975	49999
38	2032	50075
39	2095	50289
40	2158	50495
41	2221	50674
42	2270	50529
43	2330	50628
44	2390	50725
45	2450	50821
46	2462	49939
47	2507	49731
48	2574	49965
49	2640	50160
50	2699	50229
51	2756	50248
52	2815	50306
53	2874	50351
54	2911	50033
55	2932	49431
56	2988	49448
57	3017	49011
58	3076	49059
59	3132	49082
60	3193	49163
61	3257	49285
62	3331	49543
63	3412	49901
64	3445	49555
65	3467	49067
66	3524	49078
67	3580	49072
68	3649	49239
69	3678	48874
70	3707	48516
71	3766	48541
72	3828	48611
73	3889	48668
74	3911	48238
75	3974	48323
76	4036	48385
77	4099	48459
78	4111	47933
79	4171	47968
80	4228	47976
81	4289	48022
82	4360	48174
83	4425	48254
84	4488	48312
85	4549	48352
86	4606	48341
87	4663	48332
88	4720	48321
89	4781	48346
90	4839	48340
91	4898	48345
92	4998	48749
93	5062	48798
94	5125	48823
95	5189	48865
96	5252	48893
97	5316	48936
98	5382	48984
99	5449	49045
100	5515	49094
101	5577	49101
102	5637	49097
103	5698	49097
104	5762	49118
105	5821	49102
106	5881	49083
107	5942	49078
108	6003	49070
109	6065	49075
110	6127	49075
111	6198	49145
112	6263	49163
113	6332	49218
114	6400	49252
115	6465	49274
116	6533	49312
117	6601	49340
118	6664	49336
119	6727	49331
120	6822	49562
121	6883	49541
122	6953	49578
123	7013	49547
124	7071	49501
125	7130	49463
126	7189	49417
127	7247	49376
128	7311	49365
129	7371	49330
130	7442	49369
131	7508	49377
132	7569	49342
133	7628	49302
134	7686	49252
135	7748	49224
136	7809	49192
137	7875	49192
138	7938	49172
139	8000	49146
140	8071	49170
141	8131	49135
142	8215	49238
143	8278	49209
144	8342	49193
145	8406	49172
146	8471	49155
147	8535	49134
148	8608	49164
149	8676	49168
150	8739	49137
151	8802	49106
152	8861	49058
153	8933	49075
154	9013	49139
155	9072	49083
156	9127	49008
157	9182	48936
158	9241	48882
159	9303	48843
160	9367	48817
161	9430	48782
162	9487	48718
163	9550	48684
164	9612	48646
165	9672	48595
166	9735	48562
167	9794	48508
168	9854	48454
169	9910	48388
170	9968	48327
171	10028	48278
172	10088	48226
173	10148	48175
174	10209	48128
175	10274	48102
176	10341	48086
177	10405	48051
178	10467	48009
179	10543	48030
180	10600	47965
181	10660	47913
182	10722	47871
183	10782	47816
184	10842	47765
185	10902	47713
186	10960	47652
